id;text;Evaluation
1241411864422223877;"""Clearly this must mean easyJet has no need of state support or taxpayer bailouts and the government should act accordingly, surely? https://t.co/8RXI2rQmsg""";Negative
1135187083172155392;"""@EtihadAirways booked business class, no contact details. What am I paying for???""";Negative
1142061346210635777;"""@candktravel @AmericanAir @Delta @united @JetBlue I just expected so much more from @AmericanAir""";Negative
1178399552975654912;"""And now a @KLM CSR has confirmed they actually have no idea where my bags are.\n\nThis is... this is just great.""";Negative
1172231533492625408;"""@British_Airways I’m supposedly on BA0281, and it’s showing as delayed. App says get to airport for planned depart time, email says check in open until 12:30, an hour past Schedule. What do I do? You’ve already made me late for a meeting, so staying in office and working helps.""";Negative
1239552342401241088;"""I agree with her, she should be sent back to Spain where she can enjoy clean bathrooms and free healthcare. https://t.co/6YBNiaeCNb""";Negative
1158988622709907457;"""@serialliar @easyJet THATS MESSED UP!""";Negative
1151862738441965569;"""@p1jake @AmericanAir Unbelievable.  Wait, no....believable.""";Negative
1133136251740205056;"""Just a reminder that ignorance about how women’s bodies work (including but not limited to: menstruation, uterine conditions, pregnancy and postpartum needs) is not an excuse for unprofessional or disrespectful behavior. https://t.co/vC65yxwM8f""";Negative
1212711853807194112;"""Breaking: A woman has died after exposure to bushfire smoke smothering Canberra airport this afternoon after exiting a Qantas plane @TheNewDailyAu has confirmed death with police. Relatives believe respiratory distress involved  https://t.co/QGU8GJKbyF""";Negative
1216747308370595842;"""@Ryanair no eye contact before marriage i hate this""";Negative
1142789359722205184;"""I remember this terrible experience clearly. I was the Nigerian lawyer. https://t.co/UmI9HirZyi""";Negative
1240821462191112192;"""Guessing that $750 will also be caught up in the same place as the funding for the Fire victims? aka non existent https://t.co/AJbFl9NHlF""";Negative
1159358496594366464;"""I can’t believe my eyes right now, my boy was racially profiled and attacked on our flight on our way home ; there was a free seat next to me but the air hostess refused to let him sit there and accused him of punching her when the whole plane has his side. @Ryanair #justice https://t.co/uaI9L3bn9z""";Negative
1241372749249097729;"""Clearly this must mean easyJet has no need of state support or taxpayer bailouts and the government should act accordingly, surely?""";Negative
1141884923298496513;"""@smh #Qantas has become a real shit show. I am glad I have been able to switch the 30 tickets we buy each week for staff to Virgin. It is a very unsafe airline to fly on.""";Negative
1232605998440964096;"""@airfrance why is it that after 2 hrs I’m still sitting here waiting for a wheelchair to pick me up &amp; take me to my gate and employees are sitting around playing on their phones? I haven’t gone through security &amp; at this rate will miss my plane!""";Negative
1216410326700154880;"""Dear @Qantas,\nDuring this unprecedented catastrophic #bushfires emergency could you please stop screening the #ClimateChange denialist #SkyNews in your #Qantas lounges? Perhaps screen the @abcnews instead. Their reports are lucid, factual &amp; informative. Thank you. #AusFires""";Negative
1198966772281626630;"""When you buy a £5 Ryanair ticket https://t.co/7QHyfze112""";Negative
1168937578382405633;"""@airfrance by far the worse experience to date with airline travel. Lost luggage - no tracking - rude customer service. These experiences ruin people’s trips. ____ @KLM - affiliated with @airfrance Never again. Not worth it.""";Negative
1242146110271094786;"""@easyJet Was due to fly to Inverness today but flight was cancelled. I've tried calling, using the app, live chat but am failing to get through to you. Can you process the refund please as the app will only let me change to other cancelled flights!""";Negative
1226817375741153284;"""Not what the data says unless you're counting free distribution to cafes and Qantas lounges. Have to hand it to the old guy though, between print, TV and and media domination in certain cities/regions, a brilliant strategy to dumb-down the nation.\nhttps://t.co/i9UIyZC0Sl https://t.co/nTDiaJllRb""";Negative
1137870965965238272;"""So I did a couple of tweets about it earlier, but now I think I need to vent and tell the entire story about what occurred at LAX trying to get on my @AmericanAir flight to Orlando this morning.""";Negative
1165997847008993280;"""@British_Airways How do we get in contact with you about a cancelled flight??? I’ve tried calling many times over the past three days! This is crazy!""";Negative
1145621785557254145;"""Why do Ryanair treat their young cabin crew abysmally""";Negative
1232748294419275776;"""NOT A OTLANDS SHAME AT ALL\nTHESE THUGS ARE SUPPORTERS OF A FOOTBALL TEAM\nTHIS CLUB NEED TO STEP UP \nAND BAN THESE PEOPLE ONLY WAY TO STOP BULLIES\nIS TOO STOP THEM FROM GOING ABROAD\nTHEY DONT UNDERSTAND ANYTHING ELSE""";Negative
1160243669267443712;"""I already given almost all the information while filling PIR form. But after 24 hours same information taken from me but no update ragarding my luggage.. Plz update@EtihadAirways""";Negative
1243787599442882561;"""And the $700m gifted from us taxpayers was for what exactly @Qantas ?""";Negative
1214836903998099457;"""@MattGrayYES @AmericanAir But is it better to end up somewhere totally unexpected, or be forcibly removed from the flight because it was over sold?""";Negative
1240817719689105408;"""Just remember beautiful people, now that Qantas has taken taxpayer dollars and shafted their workers....NOBODY IS SAFE!! ANY business that takes taxpayers money, will they save your job first or save their own arse and their wealth fist? @ScottMorrisonMP is a total simpleton! __""";Negative
1168256219489849344;"""@British_Airways is it part of the training to lie to passengers and have them stood at the gate while the staff talk amongst themselves even though the flight has already passed its departure time... Twice...?""";Negative
1236767551062978560;"""Unfortunately @easyjet have proved they aren’t concerned at all about the welfare of their flight crew or passengers...disgusting""";Negative
1159659599273742336;"""I can’t believe my eyes right now, my boy was racially profiled and attacked on our flight on our way home ; there was a free seat next to me but the air hostess refused to let him sit there and accused him of punching her when the whole plane has his side. @Ryanair #justice https://t.co/uaI9L3bn9z""";Negative
1155801065465483264;"""@Spoinster @British_Airways BA are really doing downhill these days""";Negative
1214726310934630400;"""@British_Airways needs a revamp with its fleet from Bangkok to London and vice versa. The #Boeing 777-200ER they used in my flight in Sept '19 was 11 yrs old, uncomfortable, old and quality of entertainment very poor on tiny screens in economy. For 12 hours, use #A380 or #A350 __""";Negative
1188773006224560128;"""@AmericanAir The team at the gate recommended that I complain about how misleading this tweet was. They told me the flight was completely sold out, there was already a huge upgrade list, and even if I did get offered an upgrade, I would have had to pay hundreds of $$$. What are your thoughts?""";Negative
1231273696142200833;"""Awful (lack of) service on a £1,550 #lowcostflightripoff flight for 4ppl by @Ryanair &amp;airport staff today. Not 1 #Ryanair rep @trevisoairport to help with issues @ check in. Subsequently held to ransom made to pay €220 extra to get home. Never had same problems @easyJet @UK_CAA""";Negative
1137073797784150016;"""Next time you say “sO wHeN iS sTrAiGhT pRiDe ____” ask yourself whether you’ve ever been treated like this for being with your other half and then stfu https://t.co/NNzukjIaFg""";Negative
